,Location,Building Model,Overlay District,Improvements,Land,Total
3757,9-11 EVERGREEN LN (ARLINGTON), ,,,,
10726,SYLVIA ST, ,,,,
633,BATTLE GREEN RD, ,,,,
11441,27 WALTHAM ST,Commercial,MFO,,,
11095,UTICA ST, ,,,0.0,0.0
3756,17 EVERGREEN LN (ARLINGTON), ,,,0.0,0.0
9787,ROOSEVELT RD, ,,,0.0,0.0
8419,NICKERSON RD, ,,,50.0,50.0
6721,LOWELL ST, ,,,0.0,0.0
1847,CAMBRIDGE/CONCORD, ,,,0.0,0.0
12459,WORTHEN RD, ,,,50.0,50.0
652,BEDFORD ST, ,,,0.0,0.0
6792,LOWELL ST, ,,,0.0,0.0
12287,WOOD ST, ,,,0.0,0.0
4828,GROVE ST, ,,,0.0,0.0
12413,WOODLAND RD (BEDFORD), ,,,0.0,0.0
8973,PEACHTREE RD, ,,,20.0,20.0
1832,CAMBRIDGE/CONCORD, ,,,0.0,0.0
7464,MARVIN ST, ,,,16.666666666666664,16.666666666666664
2407,1  CONCORD AVE, ,,,0.0,0.0
2766,DANIELS ST, ,,,12.5,12.5
8392,10 MUZZEY ST #19,Com Condo,MFO,0.0,,0.0
8360,10 MUZZEY ST #20,Com Condo,MFO,0.0,,0.0
6248,LEONARD RD, ,,,12.5,12.5
9705,ROBINSON RD (WOBURN), ,,,12.5,12.5
10753,TAFT AVE, ,,0.0,12.5,11.11111111111111
517,BARRYMEADE DR, ,,,11.11111111111111,11.11111111111111
8986,PEACHTREE RD, ,,,11.11111111111111,11.11111111111111
2137,CHERRY ST, ,,,11.11111111111111,11.11111111111111
10725,SYLVIA ST, ,,,10.0,10.0
5312,6 HIBBERT ST, ,,0.0,0.0,0.0
9217,PLEASANT ST, ,,,8.333333333333332,8.333333333333332
9709,ROBINSON RD (WOBURN), ,,,8.333333333333332,8.333333333333332
12157,WOBURN ST, ,,,14.285714285714285,14.285714285714285
11749,WEBB ST, ,,0.0,8.333333333333332,6.666666666666667
9110,28 PHILEMON ST, ,,,6.666666666666667,6.666666666666667
5204,HAYDEN AVE, ,,,6.25,6.25
6247,LEONARD RD, ,,,13.333333333333334,13.333333333333334
2665,CRESCENT HILL AVE, ,,,5.88235294117647,5.88235294117647
1843,CAMBRIDGE/CONCORD, ,,,,
4198,FOLLEN RD, ,,,5.88235294117647,5.88235294117647
12352,WOOD ST, ,,,12.5,12.5
10688,SUNSET ST, ,,,5.88235294117647,5.88235294117647
10806,TARBELL AVE, ,,0.0,6.25,5.88235294117647
10686,SUNSET ST, ,,,5.88235294117647,5.88235294117647
5110,HARTWELL AVE, ,,,5.88235294117647,5.88235294117647
4507,GLEASON RD, ,,,12.5,12.5
6021,LACONIA ST, ,,,5.88235294117647,5.88235294117647
11108,VAILLE AVE, ,,,12.5,12.5
11355,WACHUSETT DR, ,,,11.76470588235294,11.76470588235294
6769,LOWELL ST, ,,,5.555555555555555,5.555555555555555
7278,MARRETT RD, ,,,5.555555555555555,5.555555555555555
12158,WOBURN ST, ,,,11.76470588235294,11.76470588235294
655,BEDFORD ST, ,,,11.76470588235294,11.76470588235294
10727,SYLVIA ST, ,,,11.76470588235294,11.76470588235294
8887,PATRICIA TER, ,,,11.76470588235294,11.76470588235294
650,BEDFORD ST, ,,,5.555555555555555,5.555555555555555
4192,FOLLEN RD, ,,,11.11111111111111,11.11111111111111
3218,EAST ST, ,,,11.11111111111111,11.11111111111111
6003,LACONIA ST, ,,,11.11111111111111,11.11111111111111
1603,BUCKMAN DR, ,,,11.11111111111111,11.11111111111111
3219,EAST ST, ,,,11.11111111111111,11.11111111111111
326,ARCOLA ST, ,,,10.526315789473683,10.526315789473683
3324,EDNA ST, ,,,10.526315789473683,10.526315789473683
3002,DOWNING RD, ,,,10.526315789473683,10.526315789473683
10685,SUNSET ST, ,,,5.0,5.0
5593,HOMESTEAD ST, ,,,10.526315789473683,10.526315789473683
5594,HOMESTEAD ST, ,,,10.526315789473683,10.526315789473683
2661,CRESCENT HILL AVE, ,,,10.526315789473683,10.526315789473683
2326,COLONIAL AVE, ,,,5.0,5.0
8992,PEACOCK FARM RD, ,,,0.0,0.0
4326,FOTTLER AVE, ,,,5.0,5.0
9108,PHILEMON ST, ,,,10.526315789473683,10.526315789473683
11831,WESTMINSTER AVE, ,,,10.526315789473683,10.526315789473683
4337,FOTTLER AVE, ,,,5.0,5.0
9271,PONYBROOK LN, ,,,10.526315789473683,10.526315789473683
9711,ROBINSON RD (WOBURN), ,,,10.526315789473683,10.526315789473683
662,BEDFORD ST, ,,,10.0,10.0
3840,FAIRBANKS RD, ,,,10.0,10.0
2005,CEDAR ST, ,,,10.0,10.0
663,BEDFORD ST, ,,,10.0,10.0
2273,CLIFFE AVE, ,,,10.0,10.0
2875,DEXTER RD, ,,0.0,15.384615384615385,10.0
7471,19 MARVIN ST, ,,0.0,11.76470588235294,10.0
692,BEDFORD ST, ,,,10.0,10.0
11111,VAILLE AVE, ,,,10.0,10.0
4969,HANCOCK ST, ,,,10.0,10.0
1080,BERNARD ST, ,,,10.0,10.0
5387,HICKORY ST, ,,,9.523809523809524,9.523809523809524
3101,EARL ST, ,,,9.523809523809524,9.523809523809524
1636,BURLINGTON ST, ,,,9.523809523809524,9.523809523809524
6244,LEIGHTON  AVE, ,,,9.523809523809524,9.523809523809524
457,BANKS AVE, ,,,9.523809523809524,9.523809523809524
5414,HICKORY ST, ,,,9.523809523809524,9.523809523809524
10805,TARBELL AVE, ,,0.0,10.0,9.523809523809524
2090,CHARLES ST, ,,,9.523809523809524,9.523809523809524
10313,SMITH FARM LN, ,,,9.523809523809524,9.523809523809524
9825,RUMFORD RD, ,,,9.523809523809524,9.523809523809524
9722,ROBINSON RD (WOBURN), ,,,9.523809523809524,9.523809523809524
2377,CONCORD AVE, ,VO,,9.523809523809524,9.523809523809524
1457,BRANDON ST, ,,,9.523809523809524,9.523809523809524
5762,JEAN RD, ,,,9.523809523809524,9.523809523809524
7522,MASSACHUSETTS AVE, ,,,9.523809523809524,9.523809523809524
7569,MASSACHUSETTS AVE, ,,,9.523809523809524,9.523809523809524
3097,EARL ST, ,,,9.523809523809524,9.523809523809524
673,BEDFORD ST, ,,,9.523809523809524,9.523809523809524
11148,VALLEY RD, ,,,9.523809523809524,9.523809523809524
5832,134 JOHNSON RD, ,,0.0,10.526315789473683,9.090909090909092
7546,MASSACHUSETTS AVE, ,,,9.090909090909092,9.090909090909092
9714,ROBINSON RD (WOBURN), ,,,14.285714285714285,14.285714285714285
12163,WOBURN ST, ,,,14.285714285714285,14.285714285714285
2270,CLIFFE AVE, ,,,9.090909090909092,9.090909090909092
9545,REED ST, ,,,9.090909090909092,9.090909090909092
8587,NORTH ST, ,,,9.090909090909092,9.090909090909092
3822,FAIRBANKS RD, ,,,9.090909090909092,9.090909090909092
8394,10 MUZZEY ST #17,Com Condo,MFO,0.0,,0.0
4728,GRASSLAND ST, ,,,9.090909090909092,9.090909090909092
9540,REED ST, ,,,9.090909090909092,9.090909090909092
4951,HAMPTON RD, ,,,9.090909090909092,9.090909090909092
8524,NORTH ST, ,,,9.090909090909092,9.090909090909092
2876,DEXTER RD, ,,,9.090909090909092,9.090909090909092
8387,10 MUZZEY ST #23,Com Condo,,0.0,,0.0
12016,WINCHESTER DR, ,,,9.090909090909092,9.090909090909092
11415,WALTHAM ST, ,,,8.695652173913043,8.695652173913043
9395,PRESTON RD, ,,,8.695652173913043,8.695652173913043
9507,REED ST, ,,,13.636363636363635,13.636363636363635
