Map #, Lot #, Site Address, Current Zone, Overlay District
48, 23, 6 WALLIS CT, CB, MFO
48, 24, 5 WALLIS CT, CB, MFO
48, 25, 3 WALLIS CT, CB, MFO
48, 22, 2-4 WALLIS CT, CB, MFO
48, 26, 1 WALLIS CT, CB, MFO
48, 20, 1620 MASSACHUSETTS AVE, CB, MFO
48, 38, 4 VINE BROOK RD, CB, MFO
48, 21, 1628 MASSACHUSETTS AVE, CB, MFO
48, 27, 1640 MASSACHUSETTS AVE, CB, MFO
48, 28, 1654 MASSACHUSETTS AVE, CB, MFO
48, 37, 52A-52B WALTHAM ST, CB, MFO
48, 30A, 1666 MASSACHUSETTS AVE, CB, MFO
48, 31, 1684-1692 MASSACHUSETTS AVE, CB, MFO
48, 35, 20 WALTHAM ST, CB, MFO
48, 36A, 50 WALTHAM ST, CD-12, MFO
48, 33, 1726 MASSACHUSETTS AVE, CB, MFO
48, 34, 1734 MASSACHUSETTS AVE, CB, MFO
48, 101, 1709 MASSACHUSETTS AVE, CB, MFO
48, 100, 1729 MASSACHUSETTS AVE, CB, MFO
48, 102, 1707 MASSACHUSETTS AVE, CB, MFO
48, 104, 4 GRANT ST, CB, MFO
48, 99, 1733 MASSACHUSETTS AVE, CB, MFO
48, 103, EDISON WY, CB, MFO
48, 98A, 1761 MASSACHUSETTS AVE, CB, MFO
48, 97A, 1775 MASSACHUSETTS AVE, CB, MFO
49, 30, 73 WALTHAM ST, CB, MFO
49, 31B, 55 WALTHAM ST, CB, MFO
49, 43, 20 MUZZEY ST, CB, MFO
49, 32, 41 WALTHAM ST, CB, MFO
49, 42, 18 MUZZEY ST, CB, MFO
49, 33B, 31 WALTHAM ST, CB, MFO
49, 66, 21 MUZZEY ST, CB, MFO
49, 34, 27 WALTHAM ST, CB, MFO
49, 81, 5 RAYMOND ST, RS, MFO
49, 35B, 25 WALTHAM ST, CB, MFO
49, 80, 7 RAYMOND ST, CB, MFO
49, 40A, 14A MUZZEY ST, CB, MFO
49, 67, 19 MUZZEY ST, CB, MFO
49, 35A, 1752 MASSACHUSETTS AVE, CB, MFO
49, 68, 15 MUZZEY ST, CB, MFO
49, 36, 1770 MASSACHUSETTS AVE, CB, MFO
49, 39, 10 MUZZEY ST, CB, MFO
49, 37B, 1780 MASSACHUSETTS AVE, CB, MFO
49, 69, 11 MUZZEY ST, CB, MFO
49, 70A, 7 MUZZEY ST, CB, MFO
49, 37A, 1788 MASSACHUSETTS AVE, CB, MFO
49, 79, 16-16 CLARKE ST, RS, MFO
49, 38, 1792 MASSACHUSETTS AVE, CB, MFO
49, 73A, 1822 MASSACHUSETTS AVE, CB, MFO
49, 74, 1834 MASSACHUSETTS AVE, CB, MFO
49, 12A, 1777 MASSACHUSETTS AVE, CB, MFO
49, 76, 1844 MASSACHUSETTS AVE, CB, MFO
49, 10, 13 DEPOT SQ, CB, MFO
49, 9, 15 DEPOT SQ, CB, MFO
49, 8A, 1833 MASSACHUSETTS AVE, CB, MFO
49, 6, 9-11 MERIAM ST, CB, MFO
84, 1C, 459 BEDFORD ST, GC, MFO
84, 85A, 475 BEDFORD ST, RO, MFO
84, 69, 476 BEDFORD ST, CM, VHO
84, 80A, 17 HARTWELL AVE, CM, VHO
