,Location,Building Model,Overlay District,Improvements,Land,Total
3757,9-11 EVERGREEN LN (ARLINGTON), ,,,,
10726,SYLVIA ST, ,,,,
633,BATTLE GREEN RD, ,,,,
11441,27 WALTHAM ST,Commercial,MFO,,,
11095,UTICA ST, ,,,0.0,0.0
3756,17 EVERGREEN LN (ARLINGTON), ,,,0.0,0.0
9787,ROOSEVELT RD, ,,,0.0,0.0
8419,NICKERSON RD, ,,,0.0,0.0
6721,LOWELL ST, ,,,0.0,0.0
1847,CAMBRIDGE/CONCORD, ,,,0.0,0.0
12459,WORTHEN RD, ,,,0.0,0.0
652,BEDFORD ST, ,,,33.33333333333333,33.33333333333333
6792,LOWELL ST, ,,,0.0,0.0
12287,WOOD ST, ,,,25.0,25.0
4828,GROVE ST, ,,,20.0,20.0
12413,WOODLAND RD (BEDFORD), ,,,-76.0,-76.0
8973,PEACHTREE RD, ,,,0.0,0.0
1832,CAMBRIDGE/CONCORD, ,,,-98.60557768924303,-98.60557768924303
7464,MARVIN ST, ,,,0.0,0.0
2407,1  CONCORD AVE, ,,,0.0,0.0
2766,DANIELS ST, ,,,14.285714285714285,14.285714285714285
8392,10 MUZZEY ST #19,Com Condo,MFO,0.0,,0.0
8360,10 MUZZEY ST #20,Com Condo,MFO,0.0,,0.0
6248,LEONARD RD, ,,,14.285714285714285,14.285714285714285
9705,ROBINSON RD (WOBURN), ,,,14.285714285714285,14.285714285714285
10753,TAFT AVE, ,,0.0,0.0,0.0
517,BARRYMEADE DR, ,,,12.5,12.5
8986,PEACHTREE RD, ,,,0.0,0.0
2137,CHERRY ST, ,,,12.5,-10.0
10725,SYLVIA ST, ,,,11.11111111111111,11.11111111111111
5312,6 HIBBERT ST, ,,0.0,16.666666666666664,10.0
9217,PLEASANT ST, ,,,9.090909090909092,9.090909090909092
9709,ROBINSON RD (WOBURN), ,,,9.090909090909092,9.090909090909092
12157,WOBURN ST, ,,,7.6923076923076925,7.6923076923076925
11749,WEBB ST, ,,0.0,9.090909090909092,7.142857142857142
9110,28 PHILEMON ST, ,,,15.384615384615385,15.384615384615385
5204,HAYDEN AVE, ,,,14.285714285714285,14.285714285714285
6247,LEONARD RD, ,,,7.142857142857142,7.142857142857142
2665,CRESCENT HILL AVE, ,,,13.333333333333334,13.333333333333334
1843,CAMBRIDGE/CONCORD, ,,,,
4198,FOLLEN RD, ,,,13.333333333333334,13.333333333333334
12352,WOOD ST, ,,,14.285714285714285,14.285714285714285
10688,SUNSET ST, ,,,13.333333333333334,13.333333333333334
10806,TARBELL AVE, ,,0.0,14.285714285714285,13.333333333333334
10686,SUNSET ST, ,,,13.333333333333334,13.333333333333334
5110,HARTWELL AVE, ,,,13.333333333333334,13.333333333333334
4507,GLEASON RD, ,,,6.666666666666667,6.666666666666667
6021,LACONIA ST, ,,,13.333333333333334,13.333333333333334
11108,VAILLE AVE, ,,,6.666666666666667,6.666666666666667
11355,WACHUSETT DR, ,,,6.25,6.25
6769,LOWELL ST, ,,,12.5,12.5
7278,MARRETT RD, ,,,12.5,12.5
12158,WOBURN ST, ,,,6.25,6.25
655,BEDFORD ST, ,,,13.333333333333334,13.333333333333334
10727,SYLVIA ST, ,,,13.333333333333334,13.333333333333334
8887,PATRICIA TER, ,,,13.333333333333334,13.333333333333334
650,BEDFORD ST, ,,,12.5,12.5
4192,FOLLEN RD, ,,,5.88235294117647,5.88235294117647
3218,EAST ST, ,,,12.5,12.5
6003,LACONIA ST, ,,,12.5,12.5
1603,BUCKMAN DR, ,,,5.88235294117647,5.88235294117647
3219,EAST ST, ,,,12.5,12.5
326,ARCOLA ST, ,,,11.76470588235294,11.76470588235294
3324,EDNA ST, ,,,11.76470588235294,11.76470588235294
3002,DOWNING RD, ,,,11.76470588235294,11.76470588235294
10685,SUNSET ST, ,,,11.11111111111111,11.11111111111111
5593,HOMESTEAD ST, ,,,11.76470588235294,11.76470588235294
5594,HOMESTEAD ST, ,,,11.76470588235294,11.76470588235294
2661,CRESCENT HILL AVE, ,,,11.76470588235294,11.76470588235294
2326,COLONIAL AVE, ,,,11.11111111111111,11.11111111111111
8992,PEACOCK FARM RD, ,,,-4.545454545454546,-4.545454545454546
4326,FOTTLER AVE, ,,,11.11111111111111,11.11111111111111
9108,PHILEMON ST, ,,,11.76470588235294,11.76470588235294
11831,WESTMINSTER AVE, ,,,11.76470588235294,11.76470588235294
4337,FOTTLER AVE, ,,,11.11111111111111,11.11111111111111
9271,PONYBROOK LN, ,,,11.76470588235294,11.76470588235294
9711,ROBINSON RD (WOBURN), ,,,11.76470588235294,11.76470588235294
662,BEDFORD ST, ,,,11.11111111111111,11.11111111111111
3840,FAIRBANKS RD, ,,,5.263157894736842,5.263157894736842
2005,CEDAR ST, ,,,5.263157894736842,5.263157894736842
663,BEDFORD ST, ,,,11.11111111111111,11.11111111111111
2273,CLIFFE AVE, ,,,11.11111111111111,11.11111111111111
2875,DEXTER RD, ,,0.0,8.333333333333332,5.263157894736842
7471,19 MARVIN ST, ,,0.0,6.25,5.263157894736842
692,BEDFORD ST, ,,,11.11111111111111,11.11111111111111
11111,VAILLE AVE, ,,,11.11111111111111,11.11111111111111
4969,HANCOCK ST, ,,,11.11111111111111,11.11111111111111
1080,BERNARD ST, ,,,11.11111111111111,11.11111111111111
5387,HICKORY ST, ,,,10.526315789473683,10.526315789473683
3101,EARL ST, ,,,10.526315789473683,10.526315789473683
1636,BURLINGTON ST, ,,,10.526315789473683,10.526315789473683
6244,LEIGHTON  AVE, ,,,10.526315789473683,10.526315789473683
457,BANKS AVE, ,,,10.526315789473683,10.526315789473683
5414,HICKORY ST, ,,,10.526315789473683,10.526315789473683
10805,TARBELL AVE, ,,0.0,11.11111111111111,10.526315789473683
2090,CHARLES ST, ,,,10.526315789473683,10.526315789473683
10313,SMITH FARM LN, ,,,10.526315789473683,10.526315789473683
9825,RUMFORD RD, ,,,10.526315789473683,10.526315789473683
9722,ROBINSON RD (WOBURN), ,,,10.526315789473683,10.526315789473683
2377,CONCORD AVE, ,VO,,10.526315789473683,10.526315789473683
1457,BRANDON ST, ,,,10.526315789473683,10.526315789473683
5762,JEAN RD, ,,,10.526315789473683,10.526315789473683
7522,MASSACHUSETTS AVE, ,,,10.526315789473683,10.526315789473683
7569,MASSACHUSETTS AVE, ,,,10.526315789473683,10.526315789473683
3097,EARL ST, ,,,10.526315789473683,10.526315789473683
673,BEDFORD ST, ,,,10.526315789473683,10.526315789473683
11148,VALLEY RD, ,,,10.526315789473683,10.526315789473683
5832,134 JOHNSON RD, ,,0.0,11.76470588235294,10.0
7546,MASSACHUSETTS AVE, ,,,10.0,10.0
9714,ROBINSON RD (WOBURN), ,,,10.526315789473683,10.526315789473683
12163,WOBURN ST, ,,,5.0,5.0
2270,CLIFFE AVE, ,,,10.0,10.0
9545,REED ST, ,,,10.0,10.0
8587,NORTH ST, ,,,10.0,10.0
3822,FAIRBANKS RD, ,,,10.0,10.0
8394,10 MUZZEY ST #17,Com Condo,MFO,0.0,,0.0
4728,GRASSLAND ST, ,,,10.0,10.0
9540,REED ST, ,,,10.0,10.0
4951,HAMPTON RD, ,,,10.0,10.0
8524,NORTH ST, ,,,10.0,10.0
2876,DEXTER RD, ,,,10.0,10.0
8387,10 MUZZEY ST #23,Com Condo,,0.0,,0.0
12016,WINCHESTER DR, ,,,10.0,10.0
11415,WALTHAM ST, ,,,9.523809523809524,9.523809523809524
9395,PRESTON RD, ,,,15.0,15.0
9507,REED ST, ,,,10.0,10.0
9390,PRESTON RD, ,,,10.0,10.0
